NM_CANDIDATO;NR_CANDIDATO;CD_CARGO;DS_CARGO;CD_GRAU_INSTRUCAO;DS_OCUPACAO;CD_OCUPACAO;CD_GENERO;sigla;ano
MARIA LÚCIA CONCEIÇÃO MELO;14;11;PREFEITO;8;PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;143;4;MG;2004
JOSÉ BRAZ;11;11;PREFEITO;4;EMPRESARIO;257;2;MG;2004
ANTÔNIO CHAVES DE OLIVEIRA;25;11;PREFEITO;3;EMPRESARIO;257;2;MG;2004
ANTONIO PIO SALDANHA MOTA;25;11;PREFEITO;8;MEDICO;111;2;MG;2004
GERALDO MAGNO DE RESENDE;12;11;PREFEITO;8;PRESIDENTE DA REPUBLICA, MINISTRO DE ESTADO, GOVERNADOR E PREFEITO;203;2;MG;2004
JOSÉ JOAQUIM DE CASTRO FREITAS PEREIRA;22;11;PREFEITO;8;PRODUTOR AGROPECUARIO;234;2;MG;2004
WILMAR SOARES DE OLIVEIRA;15;11;PREFEITO;6;PRODUTOR AGROPECUARIO;234;2;MG;2004
VANDERLEI DE CASTRO;15;11;PREFEITO;6;COMERCIANTE;169;2;MG;2004
MARCO AURÉLIO DIAS FERREIRA;22;11;PREFEITO;8;SERVIDOR PUBLICO ESTADUAL;297;2;MG;2004
SILAS FALEIRO;25;11;PREFEITO;8;MEDICO;111;2;MG;2004
SEBASTIAO CARLOS DOS REIS;22;11;PREFEITO;3;AGRICULTOR;601;2;MG;2004
RILTON CARLOS DE ALVARENGA;14;11;PREFEITO;5;COMERCIANTE;169;2;MG;2004
SEBASTIÃO DE SALES RODRIGUES;15;11;PREFEITO;4;COMERCIANTE;169;2;MG;2004
DJALMA DE CARVALHO MOREIRA JUNIOR;25;11;PREFEITO;6;SERVIDOR PUBLICO MUNICIPAL;298;2;MG;2004
JOÃO JOSE DE CARVALHO;12;11;PREFEITO;8;PRODUTOR AGROPECUARIO;234;2;MG;2004
GILSON HIENZIO SILVA MURTA;12;11;PREFEITO;8;ADMINISTRADOR;125;2;MG;2004
SEBASTIÃO COELHO DE OLIVEIRA;22;11;PREFEITO;3;COMERCIANTE;169;2;MG;2004
FRANCISCO CARLOS FERREIRA ALVES;25;11;PREFEITO;6;SERVIDOR PUBLICO ESTADUAL;297;2;MG;2004
ANTÔNIO ROBERTO DA COSTA;22;11;PREFEITO;6;APOSENTADO (EXCETO SERVIDOR PUBLICO);923;2;MG;2004
AILTON NERES DE SANTANA;45;11;PREFEITO;6;AGRICULTOR;601;2;MG;2004
JOSÉ MARTINS DE ALMEIDA;45;11;PREFEITO;7;OUTROS;999;2;MG;2004
ANTONIO CLAUDIO GODINHO;14;11;PREFEITO;8;CONTADOR;124;2;MG;2004
JAYME ARAUJO AMARAL;45;11;PREFEITO;5;PECUARISTA;602;2;MG;2004
ANTONIO NICOLAU DE CARVALHO;36;11;PREFEITO;6;NÃO INFORMADA;0;2;MG;2004
EDIO DONIZETI LEME;45;11;PREFEITO;3;AGRICULTOR;601;2;MG;2004
NILTON RODRIGUES DE ALBUQUERQUE;15;11;PREFEITO;6;PRESIDENTE DA REPUBLICA, MINISTRO DE ESTADO, GOVERNADOR E PREFEITO;203;2;MG;2004
NILO SÉRGIO TOSTES LUZ;25;11;PREFEITO;8;MEDICO;111;2;MG;2004
RENATO SANTANA SARAIVA;17;11;PREFEITO;6;AGRICULTOR;601;2;MG;2004
JOÃO BRAZ DE QUEIROZ;25;11;PREFEITO;6;EMPRESARIO;257;2;MG;2004
GERALDO NASCIMENTO DE OLIVEIRA;13;11;PREFEITO;8;ADVOGADO;131;2;MG;2004
JOSÉ SIVIRINO DA SILVA;12;11;PREFEITO;2;MOTORISTA DE VEICULOS DE TRANSPORTE DE CARGA;532;2;MG;2004
EDER TOLEDO MAGALHÃES;25;11;PREFEITO;3;SERVIDOR PUBLICO MUNICIPAL;298;2;MG;2004
PAULO CÉSAR DE MIRANDA FARIA;15;11;PREFEITO;8;PRESIDENTE DA REPUBLICA, MINISTRO DE ESTADO, GOVERNADOR E PREFEITO;203;2;MG;2004
CARLOS ANTONIO DAVI;13;11;PREFEITO;4;COMERCIANTE;169;2;MG;2004
MARCO VINÍCIUS MARQUES FÉLIX;45;11;PREFEITO;7;EMPRESARIO;257;2;MG;2004
WAGNER MENDONÇA CHAVES;13;11;PREFEITO;8;FISCAL;213;2;MG;2004
JOAO PEREIRA BRANDAO NETO;15;11;PREFEITO;8;ADVOGADO;131;2;MG;2004
UBIRACI PRATA LIMA;45;11;PREFEITO;8;ODONTOLOGO;115;2;MG;2004
FERNANDO DE SOUZA COSTA;28;11;PREFEITO;8;MEDICO;111;2;MG;2004
ROGERIO ROCHA RAFAEL;13;11;PREFEITO;6;PECUARISTA;602;2;MG;2004
JOÃO IZAEL QUERINO COELHO;22;11;PREFEITO;8;ADVOGADO;131;2;MG;2004
ODILON FERREIRA DE OLIVEIRA JUNIOR;45;11;PREFEITO;6;EMPRESARIO;257;2;MG;2004
RICARDO CESAR CANDIDO DA SILVA;15;11;PREFEITO;6;SERVIDOR PUBLICO MUNICIPAL;298;2;MG;2004
ILIDIO ANTONIO DE MELO NETO;15;11;PREFEITO;4;APOSENTADO (EXCETO SERVIDOR PUBLICO);923;2;MG;2004
GERALDO RIBEIRO DE MORAIS;22;11;PREFEITO;3;COMERCIANTE;169;2;MG;2004
FERNANDO DAMATA PIMENTEL;13;11;PREFEITO;8;PRESIDENTE DA REPUBLICA, MINISTRO DE ESTADO, GOVERNADOR E PREFEITO;203;2;MG;2004
EDSON ALVES DE SOUZA;23;11;PREFEITO;8;PECUARISTA;602;2;MG;2004
NEYVAL JOSE DE ANDRADE;23;11;PREFEITO;6;EMPRESARIO;257;2;MG;2004
JOSÉ BARBOSA NADALINI;45;11;PREFEITO;6;OUTROS;999;2;MG;2004
OSVALDO CASTRO PINTO;25;11;PREFEITO;8;EMPRESARIO;257;2;MG;2004
JOAO ANIVALDO OLIVEIRA;22;11;PREFEITO;6;SERVIDOR PUBLICO FEDERAL;296;2;MG;2004
RICARDO MENDES PINTO;25;11;PREFEITO;0;NÃO INFORMADA;0;2;MG;2004
MURILO FRANÇA DE LIMA;15;11;PREFEITO;6;COMERCIANTE;169;2;MG;2004
PEDRO FRANCISCO DA SILVA;12;11;PREFEITO;8;ODONTOLOGO;115;2;MG;2004
SILVIO CESAR DE OLIVEIRA;13;11;PREFEITO;8;MEDICO;111;2;MG;2004
POMPÍLIO DE LOURDES CANAVEZ;13;11;PREFEITO;6;APOSENTADO (EXCETO SERVIDOR PUBLICO);923;2;MG;2004
SONIA MARIA CARVALHO DE ANDRADE;25;11;PREFEITO;8;PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;143;4;MG;2004
JOSÉ RAIDAN THOMAZ FERREIRA;22;11;PREFEITO;6;COMERCIANTE;169;2;MG;2004
CHARLES AZEVEDO FERRAZ;13;11;PREFEITO;6;OUTROS;999;2;MG;2004
FABIO FERRAZ FRANCO;22;11;PREFEITO;6;COMERCIANTE;169;2;MG;2004
BELARMINO CANGUSSU;25;11;PREFEITO;6;EMPRESARIO;257;2;MG;2004
MAURO TADEU TEIXEIRA;13;11;PREFEITO;8;ODONTOLOGO;115;2;MG;2004
CRISTIANO ANTÔNIO CAETANO JUNHO;14;11;PREFEITO;6;COMERCIANTE;169;2;MG;2004
GERALDO DE AQUINO FILHO;15;11;PREFEITO;8;ADMINISTRADOR;125;2;MG;2004
JOÃO PAULO VIEIRA SPINOLA;23;11;PREFEITO;7;SERVIDOR PUBLICO CIVIL APOSENTADO;922;2;MG;2004
SEBASTIÃO MOREIRA BASTOS;15;11;PREFEITO;4;AGRICULTOR;601;2;MG;2004
MARCOS ANTONIO ALVIM;20;11;PREFEITO;8;PSICOLOGO;132;2;MG;2004
HONORIO DE OLIVEIRA;25;11;PREFEITO;8;PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;143;2;MG;2004
REGINA COELI MARQUES FERREIRA;14;11;PREFEITO;6;NÃO INFORMADA;0;4;MG;2004
ALUÍSIO VELOSO DA CUNHA;13;11;PREFEITO;8;SENADOR, DEPUTADO E VEREADOR;201;2;MG;2004
JOAO COSTA DE OLIVEIRA;45;11;PREFEITO;3;EMPRESARIO;257;2;MG;2004
CLEBER SOLANO DE CASTRO;12;11;PREFEITO;3;COMERCIANTE;169;2;MG;2004
JOSÉ NATALINO PEREIRA TORRES;25;11;PREFEITO;3;PECUARISTA;602;2;MG;2004
FERNANDO DE ALMEIDA COIMBRA;13;11;PREFEITO;8;MEDICO;111;2;MG;2004
ADALBERTO RODRIGUES DA FONSECA;22;11;PREFEITO;4;EMPRESARIO;257;2;MG;2004
GERALDO SCHIAVO;11;11;PREFEITO;3;COMERCIANTE;169;2;MG;2004
VALMIR GONTIJO FERREIRA;14;11;PREFEITO;3;OUTROS;999;2;MG;2004
GERALDO LÚCIO DE LAIA SOUZA;25;11;PREFEITO;4;AGRICULTOR;601;2;MG;2004
GUMERCINDO MAZETO;19;11;PREFEITO;3;AGRICULTOR;601;2;MG;2004
MARCOS ANTONIO MASSUQUI;44;11;PREFEITO;3;AGRICULTOR;601;2;MG;2004
RAFAEL DA COSTA MESQUITA;25;11;PREFEITO;4;PROTETICO;592;2;MG;2004
ANDRE CARLOS FERREIRA XAVIER;45;11;PREFEITO;8;ENGENHEIRO;101;2;MG;2004
WALDIR SILVA SALVADOR DE OLIVEIRA;45;11;PREFEITO;8;NÃO INFORMADA;0;2;MG;2004
AGEU DINIZ DE OLIVEIRA;25;11;PREFEITO;8;ADVOGADO;131;2;MG;2004
CLÁUDIO DE SOUSA VALADARES;14;11;PREFEITO;8;ADVOGADO;131;2;MG;2004
VILSON RODRIGUES PEREIRA;45;11;PREFEITO;8;CONTADOR;124;2;MG;2004
LEONARDO DURAES DE ALMEIDA;22;11;PREFEITO;8;ODONTOLOGO;115;2;MG;2004
IVONEI ABADE BRITO;45;11;PREFEITO;6;OUTROS;999;2;MG;2004
MAURI VENTURA DO CARMO;13;11;PREFEITO;2;AGRICULTOR;601;2;MG;2004
JOSÉ LOURES CICONELI;25;11;PREFEITO;3;SERVIDOR PUBLICO MUNICIPAL;298;2;MG;2004
RONALDO LOPES CORREA;13;11;PREFEITO;8;SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;910;2;MG;2004
ÂNGELO JOSÉ RONCALLI DE FREITAS;45;11;PREFEITO;8;EMPRESARIO;257;2;MG;2004
GUMERCINDO PEREIRA;14;11;PREFEITO;6;TECNICO EM AGRONOMIA E AGRIMENSURA;153;2;MG;2004
MARCOS DAVID FREITAS FERREIRA;25;11;PREFEITO;8;ADVOGADO;131;2;MG;2004
GOTTFRID KAIZER;13;11;PREFEITO;3;AGRICULTOR;601;2;MG;2004
URIAS PAULO FURQUIM;45;11;PREFEITO;8;ODONTOLOGO;115;2;MG;2004
MARIA CECÍLIA SEVERINO DE FREITAS;11;11;PREFEITO;7;OUTROS;999;4;MG;2004
RONALDO RESENDE RIBEIRO;11;11;PREFEITO;6;EMPRESARIO;257;2;MG;2004
JOSE EDVALDO ANTUNES DE SOUZA;11;11;PREFEITO;8;ODONTOLOGO;115;2;MG;2004
OLIVER MADEIRA BICALHO;12;11;PREFEITO;8;ADVOGADO;131;2;MG;2004
FUED JOSÉ DIB;22;11;PREFEITO;8;ARQUITETO;102;2;MG;2004
WARMILLON FONSECA BRAGA;25;11;PREFEITO;6;NÃO INFORMADA;0;2;MG;2004
HASENCLEVER PERES VALLADÃO;12;11;PREFEITO;6;APOSENTADO (EXCETO SERVIDOR PUBLICO);923;2;MG;2004
MARCOS TRIDON DE CARVALHO;45;11;PREFEITO;6;CONTADOR;124;2;MG;2004
ELIO LOPES DOS SANTOS;15;11;PREFEITO;6;SERVIDOR PUBLICO ESTADUAL;297;2;MG;2004
RICARDO DE CASTRO MACHADO;45;11;PREFEITO;6;SERVIDOR PUBLICO MUNICIPAL;298;2;MG;2004
PAULO EMÍDIO DE SOUZA;45;11;PREFEITO;6;OCUPANTE DE CARGO EM COMISSAO;291;2;MG;2004
MARCOS BELLAVINHA;23;11;PREFEITO;8;APOSENTADO (EXCETO SERVIDOR PUBLICO);923;2;MG;2004
SEBASTIAO RODRIGUES MONTEIRO;45;11;PREFEITO;8;ADVOGADO;131;2;MG;2004
ANTONIO JOSÉ RABELO;45;11;PREFEITO;4;COMERCIANTE;169;2;MG;2004
WELLINGTON PACIFICO CAMPOS DE LIMA;11;11;PREFEITO;8;MEDICO;111;2;MG;2004
MANOEL CARLOS FERNANDES;25;11;PREFEITO;6;PRODUTOR AGROPECUARIO;234;2;MG;2004
NIVALDO DONIZETE MUNIZ;45;11;PREFEITO;4;REPRESENTANTE COMERCIAL;237;2;MG;2004
GILBERTO GONCALVES DE AGUILAR;45;11;PREFEITO;6;PRESIDENTE DA REPUBLICA, MINISTRO DE ESTADO, GOVERNADOR E PREFEITO;203;2;MG;2004
EDMILSON VALADAO DE OLIVEIRA;15;11;PREFEITO;4;COMERCIANTE;169;2;MG;2004
EDSON SAID REZENDE;25;11;PREFEITO;8;ADVOGADO;131;2;MG;2004
JANIO DAVID LAMAS;25;11;PREFEITO;3;AGRICULTOR;601;2;MG;2004
JOSE RAIMUNDO RIBEIRO GOMES;13;11;PREFEITO;6;OUTROS;999;2;MG;2004
IMAR GLICÉRIO PINTO;45;11;PREFEITO;6;TECNICO CONTABILIDADE, ESTATISTICA, ECONOMIA DOMESTICA E ADMINISTRACAO;151;2;MG;2004
GILMAR MENDES FERRAZ;12;11;PREFEITO;3;COMERCIANTE;169;2;MG;2004
ILTON COSTA ARAUJO;25;11;PREFEITO;6;COMERCIANTE;169;2;MG;2004
CESÁRIO FERREIRA DE ALMEIDA;14;11;PREFEITO;8;SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;910;2;MG;2004
DONIZETE VILELA;11;11;PREFEITO;4;INDUSTRIAL;206;2;MG;2004
JOSÉLIO ROZA MACHADO;11;11;PREFEITO;4;EMPRESARIO;257;2;MG;2004
ABRÃO CALIL FILHO;22;11;PREFEITO;8;ADVOGADO;131;2;MG;2004
JOSÉ DE OLIVEIRA FILHO;11;11;PREFEITO;3;PECUARISTA;602;2;MG;2004
GILSON GERALDO FRAGA GRANZINOLI;25;11;PREFEITO;7;COMERCIANTE;169;2;MG;2004
WAGNER RIBEIRO DE BARROS;11;11;PREFEITO;6;OUTROS;999;2;MG;2004
LÚCIA APARECIDA ELCORAB ALVIM;22;11;PREFEITO;6;SERVIDOR PUBLICO MUNICIPAL;298;4;MG;2004
EDILAMAR NOVAIS BORGES;45;11;PREFEITO;0;PECUARISTA;602;4;MG;2004
ROBERTO DE OLIVEIRA QUEIROZ COSTA;14;11;PREFEITO;6;SERVIDOR PUBLICO MUNICIPAL;298;2;MG;2004
JOAO ALBERTO GOMES DE ALMEIDA;15;11;PREFEITO;6;OUTROS;999;2;MG;2004
JOAQUIM CORREIA DE MELO;13;11;PREFEITO;5;PADEIRO, CONFEITEIRO E TRABALHADOR ASSEMELHADO;228;2;MG;2004
SELSO FERREIRA DE ALMEIDA;11;11;PREFEITO;8;COMERCIANTE;169;2;MG;2004
JOSÉ DONIZETE VILELA;15;11;PREFEITO;3;AGRICULTOR;601;2;MG;2004
ULTIMO BITENCOURT DE FREITAS;11;11;PREFEITO;8;MEDICO;111;2;MG;2004
JOAO GUALBERTO REZENDE JUNIOR;15;11;PREFEITO;8;FARMACEUTICO;117;2;MG;2004
MILTON FERREIRA DA SILVA;45;11;PREFEITO;3;VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS;402;2;MG;2004
JOSÉ ANTONIO MARTINS SANTANA;13;11;PREFEITO;8;COMERCIANTE;169;2;MG;2004
DALMO DE SOUZA MIRANDA;45;11;PREFEITO;3;AGRICULTOR;601;2;MG;2004
WAGNER ALVES PARANAÍBA;25;11;PREFEITO;6;PECUARISTA;602;2;MG;2004
JOSE MARIA REPOLÊS;15;11;PREFEITO;4;AGRICULTOR;601;2;MG;2004
ANTONIO DIVINO DE MIRANDA;23;11;PREFEITO;6;COMERCIANTE;169;2;MG;2004
ADALTO LUÍS LEAL;15;11;PREFEITO;8;PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;143;2;MG;2004
RONALDO CANABRAVA;15;11;PREFEITO;8;ADVOGADO;131;2;MG;2004
ODILON CAMPOS FILHO;11;11;PREFEITO;8;VETERINARIO;112;2;MG;2004
JOSE PEDRO DE OLIVEIRA;22;11;PREFEITO;4;AGRICULTOR;601;2;MG;2004
CARLOS AURELIO CARMINATE ALMEIDA;22;11;PREFEITO;6;PECUARISTA;602;2;MG;2004
JOSE NETO SANTANA;22;11;PREFEITO;8;MEDICO;111;2;MG;2004
JOSE CARLOS MACIEL DE ALCKMIN;45;11;PREFEITO;6;COMERCIANTE;169;2;MG;2004
JOAO AMARO DO COUTO;45;11;PREFEITO;3;SERVIDOR PUBLICO MUNICIPAL;298;2;MG;2004
ANDERSON COSTA CABIDO;13;11;PREFEITO;8;ADMINISTRADOR;125;2;MG;2004
ANTONIO GOMES PEIXOTO;15;11;PREFEITO;3;AGRICULTOR;601;2;MG;2004
JOÃO ANTÔNIO RAMOS ALMEIDA;12;11;PREFEITO;8;ADMINISTRADOR;125;2;MG;2004
AURÉLIO CÉZAR DONÁDIA FERREIRA;45;11;PREFEITO;6;SERVIDOR PUBLICO MUNICIPAL;298;2;MG;2004
JOSÉ ROBERTO DE PAIVA GOMES;11;11;PREFEITO;8;ODONTOLOGO;115;2;MG;2004
ODELMO LEÃO CARNEIRO SOBRINHO;11;11;PREFEITO;6;SENADOR, DEPUTADO E VEREADOR;201;2;MG;2004
LEONIDAS AUGUSTO DE OLIVEIRA ANDRADE;25;11;PREFEITO;6;AGRICULTOR;601;2;MG;2004
AILSON FABIANO RIBEIRO;45;11;PREFEITO;5;MOTORISTA DE VEICULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;531;2;MG;2004
WALTER VILLAMID SOARES CHAVES;45;11;PREFEITO;7;CONTADOR;124;2;MG;2004
PAULO SERGIO NORONHA BARLETA;14;11;PREFEITO;8;ENGENHEIRO;101;2;MG;2004
PEDRO PAULO PINTO;15;11;PREFEITO;3;AGRICULTOR;601;2;MG;2004
LUIZ DÁRCIO PEREIRA;11;11;PREFEITO;8;OUTROS;999;2;MG;2004
OLACIR ELY DA SILVA;11;11;PREFEITO;3;OUTROS;999;2;MG;2004
JOSÉ ROBERTO GONÇALVES BARBOSA;15;11;PREFEITO;4;COMERCIANTE;169;2;MG;2004
LILIANE AVELAR SENA MIRANDA;15;11;PREFEITO;8;ADVOGADO;131;4;MG;2004
ANTONIO DE PADUA ALVES;13;11;PREFEITO;8;SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;910;2;MG;2004
ALTAIR GERALDO ROSA;22;11;PREFEITO;6;OUTROS;999;2;MG;2004
ARNALDO DE OLIVEIRA BRAGA;15;11;PREFEITO;6;PRESIDENTE DA REPUBLICA, MINISTRO DE ESTADO, GOVERNADOR E PREFEITO;203;2;MG;2004
JOSE JOAQUIM AFONSO;25;11;PREFEITO;3;COMERCIANTE;169;2;MG;2004
JOSE HEITOR GUIMARAES DE CARVALHO;45;11;PREFEITO;8;ADMINISTRADOR;125;2;MG;2004
AILTON SILVEIRA DIAS;15;11;PREFEITO;6;COMERCIANTE;169;2;MG;2004
CLAUDEMIR CARPE;70;11;PREFEITO;6;PRESIDENTE DA REPUBLICA, MINISTRO DE ESTADO, GOVERNADOR E PREFEITO;203;2;MG;2004
SERAFIM CIRIACO DE OLIVEIRA;15;11;PREFEITO;3;PECUARISTA;602;2;MG;2004
WALTER MUSSULINI SARNO;15;11;PREFEITO;3;OUTROS;999;2;MG;2004
JAEDER CARLOS PEREIRA;13;11;PREFEITO;8;SERVIDOR PUBLICO CIVIL APOSENTADO;922;2;MG;2004
PAULO UEJO;40;11;PREFEITO;8;MEDICO;111;2;MG;2004
ELY REZENDE PEREIRA;22;11;PREFEITO;3;OUTROS;999;2;MG;2004
JAMIR MOREIRA DE ANDRADE;22;11;PREFEITO;6;LOCUTOR E COMENTARISTA DE RADIO E TELEVISAO E RADIALISTA;166;2;MG;2004
CARLOS ANTONIO RIBEIRO;14;11;PREFEITO;5;MEMBRO DAS FORCAS ARMADAS;295;2;MG;2004
RANIENE JOSE DA SILVA;13;11;PREFEITO;5;AGRICULTOR;601;2;MG;2004
LUCIO FLAVIO XAVIER CARNEIRO;25;11;PREFEITO;3;INDUSTRIAL;206;2;MG;2004
TEOFILO ANTONIO SOARES;15;11;PREFEITO;8;VETERINARIO;112;2;MG;2004
ANTÔNIO DO CARMO NETO;15;11;PREFEITO;4;PRESIDENTE DA REPUBLICA, MINISTRO DE ESTADO, GOVERNADOR E PREFEITO;203;2;MG;2004
ARINEL DA SILVA PEREIRA;17;11;PREFEITO;5;COMERCIANTE;169;2;MG;2004
RUY BARBOSA FERNANDES;14;11;PREFEITO;8;ADVOGADO;131;2;MG;2004
ITON REIS;25;11;PREFEITO;6;FARMACEUTICO;117;2;MG;2004
GILBERTO DE PAULA REIS;15;11;PREFEITO;6;SERVIDOR PUBLICO MUNICIPAL;298;2;MG;2004
MARIA LINDINALVA LEITE LUCINDA;15;11;PREFEITO;8;APOSENTADO (EXCETO SERVIDOR PUBLICO);923;4;MG;2004
JURANDIR MARCIO REZENDE COELHO;15;11;PREFEITO;8;SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;910;2;MG;2004
CARLOS ALBERTO FAGUNDES GOUVEA;15;11;PREFEITO;8;AGRICULTOR;601;2;MG;2004
CELSO BONAMICHI;22;11;PREFEITO;6;COMERCIANTE;169;2;MG;2004
ALONSO REIS DA SILVA;13;11;PREFEITO;8;BANCARIO E ECONOMIARIO;395;2;MG;2004
JOSÉ PIRES SOBRINHO;45;11;PREFEITO;4;OUTROS;999;2;MG;2004
EVANDRO PAIVA CARRARA;15;11;PREFEITO;6;AGRICULTOR;601;2;MG;2004
PAULO DA COSTA DIAS;45;11;PREFEITO;4;MOTORISTA DE VEICULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;531;2;MG;2004
AMBROSINA MANOELITA VILELA DE MELO;22;11;PREFEITO;3;SENADOR, DEPUTADO E VEREADOR;201;4;MG;2004
ALIPIA DE SOUZA PORTO;15;11;PREFEITO;6;SERVIDOR PUBLICO CIVIL APOSENTADO;922;4;MG;2004
ABEL CABRAL;45;11;PREFEITO;4;PECUARISTA;602;2;MG;2004
JORGE ELIAS SENHORINHA;13;11;PREFEITO;7;VIGILANTE;254;2;MG;2004
JOSÉ FRANCELINO DIAS;45;11;PREFEITO;6;PRODUTOR AGROPECUARIO;234;2;MG;2004
DIRCEU PASSOS;13;11;PREFEITO;8;APOSENTADO (EXCETO SERVIDOR PUBLICO);923;2;MG;2004
JOAQUIM JOSE DE SOUZA;15;11;PREFEITO;3;COMERCIANTE;169;2;MG;2004
MARCOS BICALHO SANTOS;15;11;PREFEITO;8;COMERCIANTE;169;2;MG;2004
NEUDMAR FERREIRA CAMPOS;12;11;PREFEITO;2;AGRICULTOR;601;2;MG;2004
JOSE DARCY TEIXEIRA;11;11;PREFEITO;3;APOSENTADO (EXCETO SERVIDOR PUBLICO);923;2;MG;2004
JOSÉ ROBERTO DE OLIVEIRA;20;11;PREFEITO;8;MEDICO;111;2;MG;2004
ARACI CRISTINA ARAUJO CARVALHO;12;11;PREFEITO;7;SERVIDOR PUBLICO MUNICIPAL;298;4;MG;2004
FABIANO MAGELLA LUCAS DE CARVALHO;11;11;PREFEITO;8;ADVOGADO;131;2;MG;2004
JOÃO DE CARVALHO SOARES;14;11;PREFEITO;3;OUTROS;999;2;MG;2004
CARLOS ANTUNES DE SOUZA;13;11;PREFEITO;6;SERVIDOR PUBLICO MUNICIPAL;298;2;MG;2004
ANIBAL BORGES;13;11;PREFEITO;8;SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;910;2;MG;2004
FLORIANO SANCHES BRAGA;45;11;PREFEITO;6;PRESIDENTE DA REPUBLICA, MINISTRO DE ESTADO, GOVERNADOR E PREFEITO;203;2;MG;2004
LYNDON JOHNSON CAMPOS;11;11;PREFEITO;6;AGRICULTOR;601;2;MG;2004
LAERTE AUGUSTO DE SOUZA;13;11;PREFEITO;4;AGRICULTOR;601;2;MG;2004
EBIO JOSE VITOR;12;11;PREFEITO;2;AGRICULTOR;601;2;MG;2004
ANTONIO ALVES DE ALMEIDA;45;11;PREFEITO;8;ENGENHEIRO;101;2;MG;2004
MAGNO ORLANDO FERREIRA DE CARVALHO;45;11;PREFEITO;6;PRODUTOR AGROPECUARIO;234;2;MG;2004
ADAIR DIVINO DA SILV A;45;11;PREFEITO;6;SERVIDOR PUBLICO MUNICIPAL;298;2;MG;2004
LECY ATAIDE DO NASCIMENTO;45;11;PREFEITO;6;APOSENTADO (EXCETO SERVIDOR PUBLICO);923;2;MG;2004
JOSE ANTONIO PRATES;13;11;PREFEITO;8;ARQUITETO;102;2;MG;2004
JOSÉ RINCO BARBOSA;22;11;PREFEITO;8;SERVIDOR PUBLICO FEDERAL;296;2;MG;2004
ALBERONE DE OLIVEIRA;15;11;PREFEITO;8;NÃO INFORMADA;0;2;MG;2004
DORIVAL FARIA BARROS;15;11;PREFEITO;8;MEDICO;111;2;MG;2004
MARCELO JERÔNIMO GONÇALVES;12;11;PREFEITO;8;MEDICO;111;2;MG;2004
JOAO FERREIRA LIMA;45;11;PREFEITO;6;APOSENTADO (EXCETO SERVIDOR PUBLICO);923;2;MG;2004
LAIR SILVAS;45;11;PREFEITO;3;OUTROS;999;2;MG;2004
JESUS VINHA;15;11;PREFEITO;2;AGRICULTOR;601;2;MG;2004
JOAO BOSCO BRITO NEGREIROS;15;11;PREFEITO;3;SERVIDOR PUBLICO CIVIL APOSENTADO;922;2;MG;2004
ILAERSON FERREIRA DE SOUZA;12;11;PREFEITO;8;PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;143;2;MG;2004
ANTONIO CELSO ANDRADE DOMINGUES;22;11;PREFEITO;8;MEDICO;111;2;MG;2004
JOSE EDUARDO PEIXOTO;15;11;PREFEITO;7;COMERCIANTE;169;2;MG;2004
MANOEL SHIMITD NETTO;25;11;PREFEITO;5;AGRICULTOR;601;2;MG;2004
FRANCISCO ENÉAS XAVIER;22;11;PREFEITO;4;COMERCIANTE;169;2;MG;2004
RONALDO MOTA DIAS;22;11;PREFEITO;8;VETERINARIO;112;2;MG;2004
SERGIO ANTONIO RIBEIRO FERREIRA;15;11;PREFEITO;8;ODONTOLOGO;115;2;MG;2004
EDSON MACHADO DE ANDRADE;15;11;PREFEITO;3;EMPRESARIO;257;2;MG;2004
INÁCIO FRANCO;25;11;PREFEITO;6;EMPRESARIO;257;2;MG;2004
ANTÔNIO CESAR SIQUEIRA;14;11;PREFEITO;8;OUTROS;999;2;MG;2004
WELLINGTON LUZ ABRANTES;15;11;PREFEITO;8;VETERINARIO;112;2;MG;2004
RONALDO RAMON FERNANDES DE BRITO;25;11;PREFEITO;8;ADVOGADO;131;2;MG;2004
DOMINGOS SAVIO DE MIRANDA PAIVA;15;11;PREFEITO;6;AGRICULTOR;601;2;MG;2004
PAULO DA FONSECA;15;11;PREFEITO;3;MOTORISTA DE VEICULOS DE TRANSPORTE DE CARGA;532;2;MG;2004
ARMANDO RODRIGUES GOMES;15;11;PREFEITO;8;MEDICO;111;2;MG;2004
DIOGENES ROBERTO BORGES;11;11;PREFEITO;8;AGRONOMO;103;2;MG;2004
JOSÉ JOAQUIM PEREIRA;25;11;PREFEITO;4;OUTROS;999;2;MG;2004
